GEOID,Geographic Area Name,Total,Total_Urban,Total_Rural,PercentageUrban
60710001031,Block Group 1; Census Tract 1.03; San Bernardino County; California,1048,1048,0,100
60710001032,Block Group 2; Census Tract 1.03; San Bernardino County; California,1132,1132,0,100
60710001033,Block Group 3; Census Tract 1.03; San Bernardino County; California,2127,2127,0,100
60710001041,Block Group 1; Census Tract 1.04; San Bernardino County; California,2563,2563,0,100
60710001042,Block Group 2; Census Tract 1.04; San Bernardino County; California,1667,1667,0,100
60710001043,Block Group 3; Census Tract 1.04; San Bernardino County; California,1876,1876,0,100
60710001051,Block Group 1; Census Tract 1.05; San Bernardino County; California,2018,2018,0,100
60710001052,Block Group 2; Census Tract 1.05; San Bernardino County; California,4069,4069,0,100
60710001071,Block Group 1; Census Tract 1.07; San Bernardino County; California,2806,2806,0,100
60710001081,Block Group 1; Census Tract 1.08; San Bernardino County; California,1323,1323,0,100
60710001082,Block Group 2; Census Tract 1.08; San Bernardino County; California,1487,1487,0,100
60710001083,Block Group 3; Census Tract 1.08; San Bernardino County; California,2250,2250,0,100
60710001091,Block Group 1; Census Tract 1.09; San Bernardino County; California,1282,1282,0,100
60710001092,Block Group 2; Census Tract 1.09; San Bernardino County; California,963,963,0,100
60710001093,Block Group 3; Census Tract 1.09; San Bernardino County; California,1527,1527,0,100
60710001094,Block Group 4; Census Tract 1.09; San Bernardino County; California,1480,1480,0,100
60710001095,Block Group 5; Census Tract 1.09; San Bernardino County; California,1231,1231,0,100
60710001111,Block Group 1; Census Tract 1.11; San Bernardino County; California,710,221,489,31.12676056
60710001112,Block Group 2; Census Tract 1.11; San Bernardino County; California,2043,1334,709,65.29613314
60710001151,Block Group 1; Census Tract 1.15; San Bernardino County; California,2661,2661,0,100
60710001152,Block Group 2; Census Tract 1.15; San Bernardino County; California,1732,1732,0,100
60710001153,Block Group 3; Census Tract 1.15; San Bernardino County; California,4251,4251,0,100
60710001154,Block Group 4; Census Tract 1.15; San Bernardino County; California,1078,1078,0,100
60710001171,Block Group 1; Census Tract 1.17; San Bernardino County; California,2094,2094,0,100
60710001172,Block Group 2; Census Tract 1.17; San Bernardino County; California,2360,2360,0,100
60710001173,Block Group 3; Census Tract 1.17; San Bernardino County; California,1206,1206,0,100
60710001174,Block Group 4; Census Tract 1.17; San Bernardino County; California,1076,1076,0,100
60710001181,Block Group 1; Census Tract 1.18; San Bernardino County; California,2634,2329,305,88.420653
60710001182,Block Group 2; Census Tract 1.18; San Bernardino County; California,2212,2212,0,100
60710001191,Block Group 1; Census Tract 1.19; San Bernardino County; California,2909,2909,0,100
60710001192,Block Group 2; Census Tract 1.19; San Bernardino County; California,1778,1778,0,100
60710001201,Block Group 1; Census Tract 1.20; San Bernardino County; California,1298,1298,0,100
60710001202,Block Group 2; Census Tract 1.20; San Bernardino County; California,1679,1679,0,100
60710001203,Block Group 3; Census Tract 1.20; San Bernardino County; California,1918,1918,0,100
60710001204,Block Group 4; Census Tract 1.20; San Bernardino County; California,2754,2754,0,100
60710001211,Block Group 1; Census Tract 1.21; San Bernardino County; California,1788,1788,0,100
60710001212,Block Group 2; Census Tract 1.21; San Bernardino County; California,1313,1313,0,100
60710001213,Block Group 3; Census Tract 1.21; San Bernardino County; California,3360,3172,188,94.4047619
60710001214,Block Group 4; Census Tract 1.21; San Bernardino County; California,2172,2172,0,100
60710001221,Block Group 1; Census Tract 1.22; San Bernardino County; California,2134,1437,697,67.33833177
60710001222,Block Group 2; Census Tract 1.22; San Bernardino County; California,1060,1060,0,100
60710002011,Block Group 1; Census Tract 2.01; San Bernardino County; California,1258,1258,0,100
60710002012,Block Group 2; Census Tract 2.01; San Bernardino County; California,2937,2937,0,100
60710002013,Block Group 3; Census Tract 2.01; San Bernardino County; California,1161,1161,0,100
60710002031,Block Group 1; Census Tract 2.03; San Bernardino County; California,2073,2073,0,100
60710002032,Block Group 2; Census Tract 2.03; San Bernardino County; California,920,920,0,100
60710002033,Block Group 3; Census Tract 2.03; San Bernardino County; California,1196,1196,0,100
60710002051,Block Group 1; Census Tract 2.05; San Bernardino County; California,1494,1494,0,100
60710002052,Block Group 2; Census Tract 2.05; San Bernardino County; California,2297,2297,0,100
60710002053,Block Group 3; Census Tract 2.05; San Bernardino County; California,1062,1062,0,100
60710002071,Block Group 1; Census Tract 2.07; San Bernardino County; California,1426,1426,0,100
60710002072,Block Group 2; Census Tract 2.07; San Bernardino County; California,1436,1436,0,100
60710002073,Block Group 3; Census Tract 2.07; San Bernardino County; California,1332,1332,0,100
60710002081,Block Group 1; Census Tract 2.08; San Bernardino County; California,2899,2899,0,100
60710002082,Block Group 2; Census Tract 2.08; San Bernardino County; California,1246,1246,0,100
60710003041,Block Group 1; Census Tract 3.04; San Bernardino County; California,2149,2149,0,100
60710003042,Block Group 2; Census Tract 3.04; San Bernardino County; California,2434,2434,0,100
60710003043,Block Group 3; Census Tract 3.04; San Bernardino County; California,1580,1580,0,100
60710003051,Block Group 1; Census Tract 3.05; San Bernardino County; California,1102,1102,0,100
60710003052,Block Group 2; Census Tract 3.05; San Bernardino County; California,1316,1316,0,100
60710003053,Block Group 3; Census Tract 3.05; San Bernardino County; California,1684,1684,0,100
60710003054,Block Group 4; Census Tract 3.05; San Bernardino County; California,1558,1558,0,100
60710003061,Block Group 1; Census Tract 3.06; San Bernardino County; California,1737,1737,0,100
60710003062,Block Group 2; Census Tract 3.06; San Bernardino County; California,1682,1682,0,100
60710003071,Block Group 1; Census Tract 3.07; San Bernardino County; California,1731,1731,0,100
60710003072,Block Group 2; Census Tract 3.07; San Bernardino County; California,1467,1467,0,100
60710003081,Block Group 1; Census Tract 3.08; San Bernardino County; California,1612,1612,0,100
60710003082,Block Group 2; Census Tract 3.08; San Bernardino County; California,2066,2066,0,100
60710004011,Block Group 1; Census Tract 4.01; San Bernardino County; California,1693,1693,0,100
60710004012,Block Group 2; Census Tract 4.01; San Bernardino County; California,1053,1053,0,100
60710004013,Block Group 3; Census Tract 4.01; San Bernardino County; California,1429,1429,0,100
60710004014,Block Group 4; Census Tract 4.01; San Bernardino County; California,2184,2184,0,100
60710004031,Block Group 1; Census Tract 4.03; San Bernardino County; California,999,999,0,100
60710004032,Block Group 2; Census Tract 4.03; San Bernardino County; California,1851,1851,0,100
60710004033,Block Group 3; Census Tract 4.03; San Bernardino County; California,1822,1822,0,100
60710004041,Block Group 1; Census Tract 4.04; San Bernardino County; California,2891,2891,0,100
60710004042,Block Group 2; Census Tract 4.04; San Bernardino County; California,2146,2146,0,100
60710005011,Block Group 1; Census Tract 5.01; San Bernardino County; California,1853,1853,0,100
60710005012,Block Group 2; Census Tract 5.01; San Bernardino County; California,1781,1781,0,100
60710005013,Block Group 3; Census Tract 5.01; San Bernardino County; California,1943,1943,0,100
60710005014,Block Group 4; Census Tract 5.01; San Bernardino County; California,1308,1308,0,100
60710005031,Block Group 1; Census Tract 5.03; San Bernardino County; California,1833,1833,0,100
60710005032,Block Group 2; Census Tract 5.03; San Bernardino County; California,1487,1487,0,100
60710005033,Block Group 3; Census Tract 5.03; San Bernardino County; California,1830,1830,0,100
60710005041,Block Group 1; Census Tract 5.04; San Bernardino County; California,1415,1415,0,100
60710005042,Block Group 2; Census Tract 5.04; San Bernardino County; California,1498,1498,0,100
60710005043,Block Group 3; Census Tract 5.04; San Bernardino County; California,2501,2501,0,100
60710006031,Block Group 1; Census Tract 6.03; San Bernardino County; California,1012,1012,0,100
60710006032,Block Group 2; Census Tract 6.03; San Bernardino County; California,1784,1784,0,100
60710006033,Block Group 3; Census Tract 6.03; San Bernardino County; California,2272,2272,0,100
60710006041,Block Group 1; Census Tract 6.04; San Bernardino County; California,2304,2304,0,100
60710006042,Block Group 2; Census Tract 6.04; San Bernardino County; California,1819,1819,0,100
60710006043,Block Group 3; Census Tract 6.04; San Bernardino County; California,1544,1544,0,100
60710006051,Block Group 1; Census Tract 6.05; San Bernardino County; California,2478,2478,0,100
60710006052,Block Group 2; Census Tract 6.05; San Bernardino County; California,2351,2351,0,100
60710006061,Block Group 1; Census Tract 6.06; San Bernardino County; California,2397,2397,0,100
60710006062,Block Group 2; Census Tract 6.06; San Bernardino County; California,1928,1928,0,100
60710008041,Block Group 1; Census Tract 8.04; San Bernardino County; California,1297,1297,0,100
60710008042,Block Group 2; Census Tract 8.04; San Bernardino County; California,2144,2124,20,99.06716418
60710008081,Block Group 1; Census Tract 8.08; San Bernardino County; California,1438,1438,0,100
60710008082,Block Group 2; Census Tract 8.08; San Bernardino County; California,1934,1934,0,100
60710008083,Block Group 3; Census Tract 8.08; San Bernardino County; California,1333,1333,0,100
60710008084,Block Group 4; Census Tract 8.08; San Bernardino County; California,1468,1468,0,100
60710008121,Block Group 1; Census Tract 8.12; San Bernardino County; California,1688,1688,0,100
60710008122,Block Group 2; Census Tract 8.12; San Bernardino County; California,950,950,0,100
60710008123,Block Group 3; Census Tract 8.12; San Bernardino County; California,1431,1431,0,100
60710008131,Block Group 1; Census Tract 8.13; San Bernardino County; California,1683,1683,0,100
60710008132,Block Group 2; Census Tract 8.13; San Bernardino County; California,1798,1798,0,100
60710008141,Block Group 1; Census Tract 8.14; San Bernardino County; California,818,818,0,100
60710008142,Block Group 2; Census Tract 8.14; San Bernardino County; California,1326,1326,0,100
60710008143,Block Group 3; Census Tract 8.14; San Bernardino County; California,899,899,0,100
60710008144,Block Group 4; Census Tract 8.14; San Bernardino County; California,824,824,0,100
60710008151,Block Group 1; Census Tract 8.15; San Bernardino County; California,1729,1729,0,100
60710008152,Block Group 2; Census Tract 8.15; San Bernardino County; California,1883,1883,0,100
