GEOID,impervious
060259400003,0.0
060250108002,0.0
060250108001,0.0
060250111003,0.0
060730100132,0.0
060450103005,0.0
060450110031,0.0
060450110042,0.0
060450106021,0.0
060450113004,0.0
060450106022,0.0
060450106023,0.0
060450102003,0.0
060450106012,0.0
060450108015,0.0
060450115021,0.0
060450106013,0.0
060450106011,0.0
060450115013,0.0
060450115011,0.0
060450110033,0.0
060450115023,0.0
060450115022,0.0
060450110012,0.0
060450110032,0.0
060450110043,0.0
060450110041,0.0
060871006001,0.0
060450114004,0.0
060450103004,0.0
060450115012,0.0
060450105004,0.0
060450105005,0.0
060871209012,0.0
060871209021,0.0
060871209022,0.0
060871216012,0.0
060871224011,0.0
060871216022,0.0
060871105032,0.0
060871103022,0.0
060871105062,0.0
060871102023,0.0
060871105051,0.0
060871105052,0.0
060871102021,0.0
060871102022,0.0
060871102011,0.0
060871103021,0.0
060371171013,0.0
060371352042,0.0
060374601015,0.0
060371323022,0.0
060371278043,0.0
060371351152,0.0
060371323011,0.0
060371349072,0.0
060371190032,0.0
060371114011,0.0
060371034011,0.0
060373104003,0.0
060310007014,0.0
060310002002,0.0
060376510024,0.0
060376511011,0.0
060376511012,0.0
060376512011,0.0
060376512211,0.0
060930013002,0.0
060871103011,0.0
060871104012,0.0
060590865023,0.0
060590994023,0.0
060590995094,0.0
060730101033,0.0
060730101042,0.0
060730101032,0.0
060730101061,0.0
060730101062,0.0
060730101063,0.0
060930013004,0.0
060930002002,0.0
060930006002,0.0
060930012002,0.0
060930008004,0.0
060930009021,0.0
060930008003,0.0
060930010034,0.0
060930013003,0.0
060930009023,0.0
060930013001,0.0
060930009014,0.0
060930009012,0.0
060930010033,0.0
060930007023,0.0
060930009015,0.0
060930010021,0.0
060930010011,0.0
060930009022,0.0
060930010032,0.0
060930009013,0.0
060930009011,0.0
060376214001,0.0
060376214002,0.0
060376214003,0.0
060376214004,0.0
060530141103,0.0
060530141101,0.0
060530141094,0.0
060530141093,0.0
060530141092,0.0
060530141091,0.0
060376500012,0.0
060376500014,0.0
060376503002,0.0
