Unnamed: 0,GEOID,Longitude,Latitude,LST_Celsius,impervious,Geographic Area Name,Total,Total_Urban,Total_Rural,PercentageUrban
0,60710005042,-117.6717129,34.00467849,45.48966102,53.391304347826086,Block Group 2; Census Tract 5.04; San Bernardino County; California,1498,1498,0,100.0
1,60710011033,-117.657024,34.07203176,44.44178571,49.5,Block Group 3; Census Tract 11.03; San Bernardino County; California,1224,1224,0,100.0
2,60710013053,-117.6311398,34.08375212,43.75872727,60.0,Block Group 3; Census Tract 13.05; San Bernardino County; California,1318,1318,0,100.0
3,60710020373,-117.511828,34.1164335,43.18084746,65.28571428571429,Block Group 3; Census Tract 20.37; San Bernardino County; California,1748,1748,0,100.0
4,60710034041,-117.4031105,34.10405462,46.07262295,70.625,Block Group 1; Census Tract 34.04; San Bernardino County; California,2016,2016,0,100.0
5,60710066041,-117.3375649,34.08812321,46.46612903,52.285714285714285,Block Group 1; Census Tract 66.04; San Bernardino County; California,2145,2145,0,100.0
6,60710108031,-117.2751396,34.23075483,30.72388889,2.703703703703704,Block Group 1; Census Tract 108.03; San Bernardino County; California,874,874,0,100.0
7,60710001052,-117.7391059,33.99473146,43.07233333,31.20408163265306,Block Group 2; Census Tract 1.05; San Bernardino County; California,4069,4069,0,100.0
8,60710001093,-117.7270036,33.9662039,42.90533333,35.23076923076923,Block Group 3; Census Tract 1.09; San Bernardino County; California,1527,1527,0,100.0
9,60710001152,-117.6750708,33.95160655,42.34087719,30.12,Block Group 2; Census Tract 1.15; San Bernardino County; California,1732,1732,0,100.0
10,60710005041,-117.6887787,34.0004835,46.096,73.94444444444444,Block Group 1; Census Tract 5.04; San Bernardino County; California,1415,1415,0,100.0
11,60710006061,-117.6718575,34.01555078,44.629,55.8,Block Group 1; Census Tract 6.06; San Bernardino County; California,2397,2397,0,100.0
12,60710008131,-117.6772102,34.14694474,40.13622951,23.444444444444443,Block Group 1; Census Tract 8.13; San Bernardino County; California,1683,1683,0,100.0
13,60710004041,-117.6921992,34.04301347,44.65766667,34.705882352941174,Block Group 1; Census Tract 4.04; San Bernardino County; California,2891,2891,0,100.0
14,60710006043,-117.6937137,34.02268243,44.746,55.5,Block Group 3; Census Tract 6.04; San Bernardino County; California,1544,1544,0,100.0
15,60710005031,-117.7001945,34.01538538,44.746,47.333333333333336,Block Group 1; Census Tract 5.03; San Bernardino County; California,1833,1833,0,100.0
16,60710018063,-117.6320988,34.02250626,45.66333333,56.45454545454545,Block Group 3; Census Tract 18.06; San Bernardino County; California,1726,1726,0,100.0
17,60710019013,-117.6630672,34.00835534,44.81271186,54.1578947368421,Block Group 3; Census Tract 19.01; San Bernardino County; California,1998,1998,0,100.0
18,60710008132,-117.6791321,34.13791301,40.9352459,30.375,Block Group 2; Census Tract 8.13; San Bernardino County; California,1798,1798,0,100.0
19,60710018102,-117.639369,34.03392422,44.85644068,52.5,Block Group 2; Census Tract 18.10; San Bernardino County; California,1477,1477,0,100.0
20,60710019011,-117.6631372,34.01560675,44.629,56.9,Block Group 1; Census Tract 19.01; San Bernardino County; California,2219,2219,0,100.0
